geom;Адрес;Провайдер;Скорость;Примечание;Наименование;Признак;Буферная зона
"POINT (30.094172 59.562446)";Детская площадка у ТРК «Пилот»;ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Детская площадка у ТРК «Пилот»;Общественное пространство;30
"MULTIPOINT ((30.096713 59.561035))";Роллердром у бассейна «Атлантика»;ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Роллердром ;Общественное пространство;30
"POINT (30.101228 59.558478)";Площадь перед сценой «Аэропарк»;ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Площадь перед сценой «Аэропарк»;Общественное пространство;30
"POINT (30.117144 59.562622)";Сквер ГДК;ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);;Общественное пространство;30
"POINT (30.127224 59.567446)";Площадь «Юность»;ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Площадь «Юность»;Общественное пространство;30
"POINT (30.122988 59.568342)";"Сквер им. Ленина, перед Администрацией ГМР";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Сквер им. Ленина;Общественное пространство;30
"POINT (30.135048 59.57842)";"Пешеходные зоны на пр. 25 Октября, микрорайона Въезд";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Пешеходные зоны на пр. 25 Октября, микрорайона Въезд";Общественное пространство;30
"POINT (30.122353 59.564644)";"г. Гатчина, Сирень, пять лепестков счастья";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Сквер ""Сирень""";Общественное пространство;30
"POINT (30.121977 59.569611)";"г. Гатчина, пр. 25 Октября, д. 18 (Поэтический сквер)";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Поэтический сквер;Общественное пространство;30
"POINT (30.120304 59.565786)";"г. Гатчина, Революционный пер., д. 1 (ЦТЮ";ООО «ИТ-Регион»;20 Мбит/с;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);ЦТЮ;Общественное пространство;30
